name,label,code
Adipose_Subcutaneous,adipose subcutaneous,UBERON_0002190
Adipose_Visceral_Omentum,adipose visceral omentum,UBERON_0014454
Adrenal_Gland,adrenal gland,UBERON_0002369
Artery_Aorta,artery aorta,UBERON_0000947
Artery_Coronary,artery coronary,UBERON_0001621
Artery_Tibial,artery tibial,UBERON_0007610
Brain_Amygdala,brain amygdala,UBERON_0001876
Brain_Anterior_cingulate_cortex_BA24,brain anterior cingulate cortex ba24,UBERON_0009835
Brain_Caudate_basal_ganglia,brain caudate basal ganglia,UBERON_0001873
Brain_Cerebellar_Hemisphere,brain cerebellar hemisphere,UBERON_0002245
Brain_Cerebellum,brain cerebellum,UBERON_0002037
Brain_Cortex,brain cortex,UBERON_0000956
Brain_Frontal_Cortex_BA9,brain frontal cortex ba9,UBERON_0001870
Brain_Hippocampus,brain hippocampus,UBERON_0002421
Brain_Hypothalamus,brain hypothalamus,UBERON_0001898
Brain_Nucleus_accumbens_basal_ganglia,brain nucleus accumbens basal ganglia,UBERON_0001882
Brain_Putamen_basal_ganglia,brain putamen basal ganglia,UBERON_0001874
Brain_Spinal_cord_cervical_c-1,brain spinal cord cervical c-1,UBERON_0002726
Brain_Substantia_nigra,brain substantia nigra,UBERON_0002038
Breast_Mammary_Tissue,breast mammary tissue,UBERON_0003584
Cells_EBV-transformed_lymphocytes,cells ebv-transformed lymphocytes,CLO_0000468
Cells_Transformed_fibroblasts,cells transformed fibroblasts,CLO_0000161
Colon_Sigmoid,colon sigmoid,UBERON_0001159
Colon_Transverse,colon transverse,UBERON_0001157
Esophagus_Gastroesophageal_Junction,esophagus gastroesophageal junction,UBERON_0007650
Esophagus_Mucosa,esophagus mucosa,UBERON_0002469
Esophagus_Muscularis,esophagus muscularis,UBERON_0011878
Heart_Atrial_Appendage,heart atrial appendage,UBERON_0006618
Heart_Left_Ventricle,heart left ventricle,UBERON_0002084
Liver,liver,UBERON_0002107
Lung,lung,UBERON_0002048
Minor_Salivary_Gland,minor salivary gland,UBERON_0001830
Muscle_Skeletal,muscle skeletal,UBERON_0001134
Nerve_Tibial,nerve tibial,UBERON_0001323
Ovary,ovary,UBERON_0000992
Pancreas,pancreas,UBERON_0001264
Pituitary,pituitary,UBERON_0000007
Prostate,prostate,UBERON_0002367
Skin_Not_Sun_Exposed_Suprapubic,skin not sun exposed suprapubic,UBERON_0036149
Skin_Sun_Exposed_Lower_leg,skin sun exposed lower leg,UBERON_0004264
Small_Intestine_Terminal_Ileum,small intestine terminal ileum,UBERON_0002116
Spleen,spleen,UBERON_0002106
Stomach,stomach,UBERON_0000945
Testis,testis,UBERON_0000473
Thyroid,thyroid,UBERON_0002046
Uterus,uterus,UBERON_0000995
Vagina,vagina,UBERON_0000996
Whole_Blood,whole blood,UBERON_0000178
blood_plasma,blood_plasma,UBERON_0001969
